2026-05-26 01:10:25,516 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:25,516 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:25,615 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:25,615 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:25,615 | INFO | src.transformation | Pression pulsée moyenne : 59.6
2026-05-26 01:10:25,615 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:26,206 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:26,206 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:26,206 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:26,206 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:26,299 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:26,303 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:26,303 | INFO | src.transformation | Pression pulsée moyenne : 59.6
2026-05-26 01:10:26,303 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:26,414 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:26,414 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:26,414 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:26,414 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:27,050 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:27,050 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:27,050 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:27,050 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:27,148 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:27,148 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:27,148 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:27,148 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:27,286 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:27,286 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:27,286 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:27,295 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:28,064 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:28,064 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:28,064 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:28,064 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:28,150 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:28,151 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:28,151 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:28,155 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:28,248 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:28,248 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:28,248 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:28,259 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:28,886 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:28,886 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:28,886 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:28,888 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:28,951 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:28,952 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:28,953 | INFO | src.transformation | Pression pulsée moyenne : 59.5
2026-05-26 01:10:28,956 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:29,048 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:29,048 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:29,048 | INFO | src.transformation | Pression pulsée moyenne : 60.2
2026-05-26 01:10:29,048 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:29,340 | INFO | src.transformation | IMC moyen : 28.3
2026-05-26 01:10:29,340 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:29,340 | INFO | src.transformation | Pression pulsée moyenne : 59.0
2026-05-26 01:10:29,340 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:29,399 | INFO | src.transformation | IMC moyen : 28.0
2026-05-26 01:10:29,400 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:29,401 | INFO | src.transformation | Pression pulsée moyenne : 60.2
2026-05-26 01:10:29,403 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:29,452 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:29,453 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:29,454 | INFO | src.transformation | Pression pulsée moyenne : 59.9
2026-05-26 01:10:29,455 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:29,721 | INFO | src.transformation | IMC moyen : 28.3
2026-05-26 01:10:29,721 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:29,721 | INFO | src.transformation | Pression pulsée moyenne : 59.0
2026-05-26 01:10:29,721 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:29,783 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:29,783 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:29,784 | INFO | src.transformation | Pression pulsée moyenne : 59.9
2026-05-26 01:10:29,785 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:29,836 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:29,837 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:29,837 | INFO | src.transformation | Pression pulsée moyenne : 59.7
2026-05-26 01:10:29,838 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:30,153 | INFO | src.transformation | IMC moyen : 28.3
2026-05-26 01:10:30,153 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:30,153 | INFO | src.transformation | Pression pulsée moyenne : 59.0
2026-05-26 01:10:30,153 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:30,216 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:30,216 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:30,217 | INFO | src.transformation | Pression pulsée moyenne : 59.7
2026-05-26 01:10:30,218 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:30,269 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:30,270 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:30,271 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:30,272 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:30,713 | INFO | src.transformation | IMC moyen : 28.3
2026-05-26 01:10:30,713 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:30,713 | INFO | src.transformation | Pression pulsée moyenne : 59.0
2026-05-26 01:10:30,713 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:30,799 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:30,799 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:30,799 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:30,799 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:30,886 | INFO | src.transformation | IMC moyen : 27.7
2026-05-26 01:10:30,886 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:30,887 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:30,889 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:31,424 | INFO | src.transformation | IMC moyen : 28.3
2026-05-26 01:10:31,424 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:31,424 | INFO | src.transformation | Pression pulsée moyenne : 59.0
2026-05-26 01:10:31,424 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:31,519 | INFO | src.transformation | IMC moyen : 27.7
2026-05-26 01:10:31,519 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:31,519 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:31,519 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:31,621 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:31,621 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:31,623 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:31,625 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:32,194 | INFO | src.transformation | IMC moyen : 28.3
2026-05-26 01:10:32,196 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:32,196 | INFO | src.transformation | Pression pulsée moyenne : 59.0
2026-05-26 01:10:32,198 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:32,285 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:32,287 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:32,287 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:32,289 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:32,402 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:32,404 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:32,406 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:32,410 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:33,084 | INFO | src.transformation | IMC moyen : 28.3
